name,smiles,cls,series,series_index,n_carbons,molecular_weight,formula,n_tokens,n_tokens_final,multiword,canonical_smiles,formula_truth,formula_got,formula_raw,class_raw,formula_ok,class_picked,class_acceptable,class_ok
methane,C,alkane,alkane,1.0,1,16.043,CH4,1,1,False,C,CH4,CH4,CH4,A,True,alkane,alkane,True
ethane,CC,alkane,alkane,2.0,2,30.07,C2H6,2,2,False,CC,C2H6,C2H6,C2H6,A,True,alkane,alkane,True
propane,CCC,alkane,alkane,3.0,3,44.097,C3H8,1,1,False,CCC,C3H8,C₃H₈,C₃H₈,A,True,alkane,alkane,True
butane,CCCC,alkane,alkane,4.0,4,58.124,C4H10,2,2,False,CCCC,C4H10,C4H10,C4H10,A,True,alkane,alkane,True
pentane,CCCCC,alkane,alkane,5.0,5,72.151,C5H12,2,2,False,CCCCC,C5H12,C5H12,C5H12,A,True,alkane,alkane,True
hexane,CCCCCC,alkane,alkane,6.0,6,86.178,C6H14,2,2,False,CCCCCC,C6H14,C6H14,C6H14,A,True,alkane,alkane,True
heptane,CCCCCCC,alkane,alkane,7.0,7,100.205,C7H16,3,3,False,CCCCCCC,C7H16,C₇H₁₆,C₇H₁₆,A,True,alkane,alkane,True
octane,CCCCCCCC,alkane,alkane,8.0,8,114.232,C8H18,2,2,False,CCCCCCCC,C8H18,C8H18,C8H18,A,True,alkane,alkane,True
nonane,CCCCCCCCC,alkane,alkane,9.0,9,128.259,C9H20,2,2,False,CCCCCCCCC,C9H20,C9H20,C9H20,A,True,alkane,alkane,True
decane,CCCCCCCCCC,alkane,alkane,10.0,10,142.286,C10H22,2,2,False,CCCCCCCCCC,C10H22,C10H22,C10H22,A,True,alkane,alkane,True
ethene,C=C,alkene,alkene,2.0,2,28.053999999999995,C2H4,2,2,False,C=C,C2H4,C2H4,C2H4,B,True,alkene,alkene,True
propene,C=CC,alkene,alkene,3.0,3,42.081,C3H6,2,2,False,C=CC,C3H6,C₃H₆,C₃H₆,B,True,alkene,alkene,True
butene,C=CCC,alkene,alkene,4.0,4,56.10799999999999,C4H8,2,2,False,C=CCC,C4H8,C4H8,C4H8,B,True,alkene,alkene,True
pentene,C=CCCC,alkene,alkene,5.0,5,70.13499999999999,C5H10,2,2,False,C=CCCC,C5H10,C5H10,C5H10,B,True,alkene,alkene,True
hexene,C=CCCCC,alkene,alkene,6.0,6,84.16199999999999,C6H12,2,2,False,C=CCCCC,C6H12,C6H12,C6H12,B,True,alkene,alkene,True
heptene,C=CCCCCC,alkene,alkene,7.0,7,98.189,C7H14,3,3,False,C=CCCCCC,C7H14,C7H14,C7H14,B,True,alkene,alkene,True
octene,C=CCCCCCC,alkene,alkene,8.0,8,112.216,C8H16,2,2,False,C=CCCCCCC,C8H16,C8H16,C8H16,B,True,alkene,alkene,True
nonene,C=CCCCCCCC,alkene,alkene,9.0,9,126.243,C9H18,2,2,False,C=CCCCCCCC,C9H18,C9H18,C9H18,B,True,alkene,alkene,True
