name,smiles,cls,series,series_index,n_carbons,molecular_weight,formula,n_tokens,n_tokens_final,multiword,canonical_smiles
methane,C,alkane,alkane,1.0,1,16.043,CH4,1,1,False,C
ethane,CC,alkane,alkane,2.0,2,30.07,C2H6,2,2,False,CC
propane,CCC,alkane,alkane,3.0,3,44.096999999999994,C3H8,1,1,False,CCC
butane,CCCC,alkane,alkane,4.0,4,58.123999999999995,C4H10,2,2,False,CCCC
pentane,CCCCC,alkane,alkane,5.0,5,72.151,C5H12,2,2,False,CCCCC
hexane,CCCCCC,alkane,alkane,6.0,6,86.178,C6H14,2,2,False,CCCCCC
heptane,CCCCCCC,alkane,alkane,7.0,7,100.205,C7H16,3,3,False,CCCCCCC
octane,CCCCCCCC,alkane,alkane,8.0,8,114.232,C8H18,2,2,False,CCCCCCCC
nonane,CCCCCCCCC,alkane,alkane,9.0,9,128.259,C9H20,2,2,False,CCCCCCCCC
decane,CCCCCCCCCC,alkane,alkane,10.0,10,142.286,C10H22,2,2,False,CCCCCCCCCC
ethene,C=C,alkene,alkene,2.0,2,28.053999999999995,C2H4,2,2,False,C=C
propene,C=CC,alkene,alkene,3.0,3,42.080999999999996,C3H6,2,2,False,C=CC
butene,C=CCC,alkene,alkene,4.0,4,56.10799999999999,C4H8,2,2,False,C=CCC
pentene,C=CCCC,alkene,alkene,5.0,5,70.13499999999999,C5H10,2,2,False,C=CCCC
hexene,C=CCCCC,alkene,alkene,6.0,6,84.16199999999999,C6H12,2,2,False,C=CCCCC
heptene,C=CCCCCC,alkene,alkene,7.0,7,98.189,C7H14,3,3,False,C=CCCCCC
octene,C=CCCCCCC,alkene,alkene,8.0,8,112.216,C8H16,2,2,False,C=CCCCCCC
nonene,C=CCCCCCCC,alkene,alkene,9.0,9,126.243,C9H18,2,2,False,C=CCCCCCCC
decene,C=CCCCCCCCC,alkene,alkene,10.0,10,140.27,C10H20,2,2,False,C=CCCCCCCCC
methanol,CO,alcohol,alcohol,1.0,1,32.042,CH4O,2,2,False,CO
ethanol,CCO,alcohol,alcohol,2.0,2,46.069,C2H6O,1,1,False,CCO
propanol,CCCO,alcohol,alcohol,3.0,3,60.096,C3H8O,3,3,False,CCCO
butanol,CCCCO,alcohol,alcohol,4.0,4,74.12299999999999,C4H10O,2,2,False,CCCCO
pentanol,CCCCCO,alcohol,alcohol,5.0,5,88.14999999999999,C5H12O,2,2,False,CCCCCO
hexanol,CCCCCCO,alcohol,alcohol,6.0,6,102.17699999999999,C6H14O,2,2,False,CCCCCCO
