name,smiles,cls,series,series_index,n_carbons,molecular_weight,formula,n_tokens,n_tokens_final,multiword,canonical_smiles,formula_truth,formula_got,formula_raw,class_raw,formula_ok,class_picked,class_acceptable,class_ok,passed
methane,C,alkane,alkane,1.0,1,16.043,CH4,1,1,False,C,CH4,CH4,CH4,A,True,alkane,alkane,True,True
ethane,CC,alkane,alkane,2.0,2,30.07,C2H6,2,2,False,CC,C2H6,C2H6,C2H6,A,True,alkane,alkane,True,True
propane,CCC,alkane,alkane,3.0,3,44.097,C3H8,1,1,False,CCC,C3H8,C₃H₈,C₃H₈,A,True,alkane,alkane,True,True
butane,CCCC,alkane,alkane,4.0,4,58.124,C4H10,2,2,False,CCCC,C4H10,C4H10,C4H10,A,True,alkane,alkane,True,True
pentane,CCCCC,alkane,alkane,5.0,5,72.151,C5H12,2,2,False,CCCCC,C5H12,C5H12,C5H12,A,True,alkane,alkane,True,True
hexane,CCCCCC,alkane,alkane,6.0,6,86.178,C6H14,2,2,False,CCCCCC,C6H14,C6H14,C6H14,A,True,alkane,alkane,True,True
heptane,CCCCCCC,alkane,alkane,7.0,7,100.205,C7H16,3,3,False,CCCCCCC,C7H16,C₇H₁₆,C₇H₁₆,A,True,alkane,alkane,True,True
octane,CCCCCCCC,alkane,alkane,8.0,8,114.232,C8H18,2,2,False,CCCCCCCC,C8H18,C8H18,C8H18,A,True,alkane,alkane,True,True
nonane,CCCCCCCCC,alkane,alkane,9.0,9,128.259,C9H20,2,2,False,CCCCCCCCC,C9H20,C9H20,C9H20,A,True,alkane,alkane,True,True
decane,CCCCCCCCCC,alkane,alkane,10.0,10,142.286,C10H22,2,2,False,CCCCCCCCCC,C10H22,C10H22,C10H22,A,True,alkane,alkane,True,True
ethene,C=C,alkene,alkene,2.0,2,28.053999999999995,C2H4,2,2,False,C=C,C2H4,C2H4,C2H4,B,True,alkene,alkene,True,True
