series,layer,src_mass,tgt_mass
alkane,0,0.45950147695839405,0.0005555243192922887
alkane,1,0.4792269536604484,0.0008229424292309773
alkane,2,0.521300658583641,0.0005660767094350186
alkane,3,0.46333336488654214,0.00040426400154084757
alkane,4,0.45140132680535316,0.0004667988824043808
alkane,5,0.4372623215119044,0.0003895073899471413
alkane,6,0.46790696525325376,0.00023717970099331373
alkane,7,0.45846834934006137,0.00025646206075672734
alkane,8,0.4809489194303751,0.00022991092348216094
alkane,9,0.48586112695435685,0.0003392705813022682
alkane,10,0.43893703321615857,0.00026318155295731077
alkane,11,0.4334016203259428,0.00038072223237861635
alkane,12,0.46818392413357895,0.0006148196312665277
alkane,13,0.5182074153174957,0.0005603370502882399
alkane,14,0.4110716497525573,0.0013190618847147562
alkane,15,0.4686288970212142,0.0019810763220675653
alkane,16,0.5029196497052908,0.004522809404988948
alkane,17,0.5086805038154125,0.013265807145216968
alkane,18,0.5072428633769354,0.05219341073461692
alkane,19,0.5103543307632208,0.060036662049242295
alkane,20,0.521863571057717,0.06056932015053462
alkane,21,0.5240030828863382,0.06662923725283083
alkane,22,0.5142725668847561,0.3712099085872372
alkane,23,0.505169024070104,0.44228801410645247
alkane,24,0.5019422384599844,0.44904180616140366
alkane,25,0.5070991987983385,0.44639664981514215
alkane,26,0.5146512488524119,0.4526926443601648
alkane,27,0.49679617832104367,0.4432852665583293
alkane,28,0.5180517969032129,0.4508777403583129
alkane,29,0.5300550783673922,0.4749160706996918
alkane,30,0.531479686498642,0.5087316694358984
alkane,31,0.5554594099521637,0.5694886495669683
alcohol,0,0.5122580185222129,0.00018004102637192432
alcohol,1,0.5113157255885502,0.0002109846069992353
alcohol,2,0.5793346827849746,0.00014768186297775543
alcohol,3,0.5265974514186382,0.00010776352444056651
alcohol,4,0.49477176864941913,0.00010015259189799508
alcohol,5,0.5156305134296417,9.710831136159707e-05
alcohol,6,0.5002989945933223,6.229425855538058e-05
alcohol,7,0.5019403090700507,6.521651137762301e-05
alcohol,8,0.5073203084369501,5.975765696734451e-05
alcohol,9,0.5154388127848506,7.351073247067556e-05
alcohol,10,0.47975883291413385,6.852974321761944e-05
alcohol,11,0.4803264668832223,7.500357172377885e-05
alcohol,12,0.4992848423620065,0.0001010446101326797
alcohol,13,0.5453390581533313,0.00012766748078381815
alcohol,14,0.4519729679450393,0.00022968011233596522
alcohol,15,0.5012374122937521,0.00037282260646520626
alcohol,16,0.5422642324119806,0.0008714932951837303
alcohol,17,0.5463734858979782,0.004259942115519759
alcohol,18,0.5370533162107071,0.013697342255909462
alcohol,19,0.5484572537243366,0.018511446944709558
alcohol,20,0.5666535360117754,0.013359395973869445
alcohol,21,0.5634035766124725,0.014657999020225057
alcohol,22,0.5534972492605448,0.28580275674661
alcohol,23,0.5513741572697958,0.46703436877578497
alcohol,24,0.5570901967585087,0.48194736304382485
alcohol,25,0.5430018547922373,0.4757595940803488
alcohol,26,0.5453898304452499,0.4794716586669286
alcohol,27,0.5282956765343746,0.45404938189312816
alcohol,28,0.5481867821266254,0.45850409955407184
alcohol,29,0.5701246621708075,0.4814716453353564
alcohol,30,0.5453092586249113,0.48643534692625207
alcohol,31,0.576543594400088,0.5107661982377371
